,first,second,label
0,['Bunched Cilantro'],['Organic Cilantro'],0
1,['Organic Cilantro'],['Bunched Cilantro'],0
2,['Extra Virgin Olive Oil'],['Organic Cilantro'],0
3,['Organic Cilantro'],['Extra Virgin Olive Oil'],0
4,['Extra Virgin Olive Oil'],['Organic Italian Parsley Bunch'],0
5,['Organic Italian Parsley Bunch'],['Extra Virgin Olive Oil'],0
6,['Organic Cilantro'],['Organic Italian Parsley Bunch'],0
7,['Organic Italian Parsley Bunch'],['Organic Cilantro'],0
8,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Broccoli & Apple Stage 2 Baby Food'],1
9,['Broccoli & Apple Stage 2 Baby Food'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",1
10,['Baby Food Stage 2 Pumpkin Banana'],['Broccoli & Apple Stage 2 Baby Food'],1
11,['Broccoli & Apple Stage 2 Baby Food'],['Baby Food Stage 2 Pumpkin Banana'],1
12,"['Happy Baby Spinach, Mango, and Pear Baby Food']",['Broccoli & Apple Stage 2 Baby Food'],1
13,['Broccoli & Apple Stage 2 Baby Food'],"['Happy Baby Spinach, Mango, and Pear Baby Food']",1
14,['Organic Whole String Cheese'],['Broccoli & Apple Stage 2 Baby Food'],1
15,['Broccoli & Apple Stage 2 Baby Food'],['Organic Whole String Cheese'],1
16,['Broccoli & Apple Stage 2 Baby Food'],['Organic Whole Milk'],1
17,['Organic Whole Milk'],['Broccoli & Apple Stage 2 Baby Food'],1
18,['Stage 2 Sweet Potato Corn & Apple Baby Food'],['Broccoli & Apple Stage 2 Baby Food'],1
19,['Broccoli & Apple Stage 2 Baby Food'],['Stage 2 Sweet Potato Corn & Apple Baby Food'],1
20,['Extra Virgin Olive Oil'],['Broccoli & Apple Stage 2 Baby Food'],1
21,['Broccoli & Apple Stage 2 Baby Food'],['Extra Virgin Olive Oil'],1
22,['Broccoli & Apple Stage 2 Baby Food'],['Spinach Peas & Pear Stage 2 Baby Food'],1
23,['Spinach Peas & Pear Stage 2 Baby Food'],['Broccoli & Apple Stage 2 Baby Food'],1
24,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Broccoli & Apple Stage 2 Baby Food'],1
25,['Broccoli & Apple Stage 2 Baby Food'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
26,['Apple and Carrot Stage 2 Baby Food'],['Broccoli & Apple Stage 2 Baby Food'],1
27,['Broccoli & Apple Stage 2 Baby Food'],['Apple and Carrot Stage 2 Baby Food'],1
28,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],['Stage 1 Apples & Strawberries Organic Pureed Baby Food'],1
29,['Stage 1 Apples & Strawberries Organic Pureed Baby Food'],['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],1
30,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Baby Food Stage 2 Pumpkin Banana'],1
31,['Baby Food Stage 2 Pumpkin Banana'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",1
32,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Spinach Peas & Pear Stage 2 Baby Food'],1
33,['Spinach Peas & Pear Stage 2 Baby Food'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",1
34,['Pear & Mango Stage 2 Baby Food'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",1
35,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Pear & Mango Stage 2 Baby Food'],1
36,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
37,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",1
