,first,second,label
0,['Bunched Cilantro'],['Organic Cilantro'],0
1,['Organic Cilantro'],['Bunched Cilantro'],0
2,['Extra Virgin Olive Oil'],['Organic Cilantro'],0
3,['Organic Cilantro'],['Extra Virgin Olive Oil'],0
4,['Extra Virgin Olive Oil'],['Organic Italian Parsley Bunch'],0
5,['Organic Italian Parsley Bunch'],['Extra Virgin Olive Oil'],0
6,['Organic Cilantro'],['Organic Italian Parsley Bunch'],0
7,['Organic Italian Parsley Bunch'],['Organic Cilantro'],0
8,['Sparkling Water Grapefruit'],['Sparkling Water Berry'],1
9,['Sparkling Water Berry'],['Sparkling Water Grapefruit'],1
10,['Sparkling Lemon Water'],['Lime Sparkling Water'],1
11,['Lime Sparkling Water'],['Sparkling Lemon Water'],1
12,['Sparkling Water Grapefruit'],['Sparkling Lemon Water'],1
13,['Sparkling Lemon Water'],['Sparkling Water Grapefruit'],1
14,['Sparkling Water Grapefruit'],['Peach Pear Flavored Sparkling Water'],1
15,['Peach Pear Flavored Sparkling Water'],['Sparkling Water Grapefruit'],1
16,['Sparkling Water Grapefruit'],['Lime Sparkling Water'],1
17,['Lime Sparkling Water'],['Sparkling Water Grapefruit'],1
18,"['Sparkling Water Grapefruit', 'Sparkling Lemon Water']",['Lime Sparkling Water'],1
19,"['Sparkling Lemon Water', 'Lime Sparkling Water']",['Sparkling Water Grapefruit'],1
20,"['Sparkling Water Grapefruit', 'Lime Sparkling Water']",['Sparkling Lemon Water'],1
21,['Sparkling Lemon Water'],"['Sparkling Water Grapefruit', 'Lime Sparkling Water']",1
22,['Sparkling Water Grapefruit'],"['Sparkling Lemon Water', 'Lime Sparkling Water']",1
23,['Lime Sparkling Water'],"['Sparkling Water Grapefruit', 'Sparkling Lemon Water']",1
24,['Original Hummus'],['Organic Whole String Cheese'],2
25,['Organic Whole String Cheese'],['Original Hummus'],2
26,['Organic Whole String Cheese'],['Organic Italian Parsley Bunch'],2
27,['Organic Italian Parsley Bunch'],['Organic Whole String Cheese'],2
28,['Extra Virgin Olive Oil'],['Organic Black Beans'],2
29,['Organic Black Beans'],['Extra Virgin Olive Oil'],2
30,['Organic Black Beans'],['Organic Cilantro'],2
31,['Organic Cilantro'],['Organic Black Beans'],2
32,['Organic Black Beans'],['Organic Italian Parsley Bunch'],2
33,['Organic Italian Parsley Bunch'],['Organic Black Beans'],2
34,['Organic Whole Milk'],['Organic Italian Parsley Bunch'],2
35,['Organic Italian Parsley Bunch'],['Organic Whole Milk'],2
36,['Bunched Cilantro'],['Organic Cilantro'],2
37,['Organic Cilantro'],['Bunched Cilantro'],2
38,['Original Hummus'],['Extra Virgin Olive Oil'],2
39,['Extra Virgin Olive Oil'],['Original Hummus'],2
40,['Original Hummus'],['Organic Cilantro'],2
41,['Organic Cilantro'],['Original Hummus'],2
42,['Original Hummus'],['Organic Italian Parsley Bunch'],2
43,['Organic Italian Parsley Bunch'],['Original Hummus'],2
44,['Extra Virgin Olive Oil'],['Organic Cilantro'],2
45,['Organic Cilantro'],['Extra Virgin Olive Oil'],2
46,['Extra Virgin Olive Oil'],['Grated Parmesan'],2
47,['Grated Parmesan'],['Extra Virgin Olive Oil'],2
48,['Extra Virgin Olive Oil'],['Organic Italian Parsley Bunch'],2
49,['Organic Italian Parsley Bunch'],['Extra Virgin Olive Oil'],2
50,['Grated Parmesan'],['Organic Cilantro'],2
51,['Organic Cilantro'],['Grated Parmesan'],2
52,['Organic Cilantro'],['Organic Italian Parsley Bunch'],2
53,['Organic Italian Parsley Bunch'],['Organic Cilantro'],2
54,['Grated Parmesan'],['Organic Italian Parsley Bunch'],2
55,['Organic Italian Parsley Bunch'],['Grated Parmesan'],2
56,['Organic Diced Tomatoes'],['Organic Whole Milk'],3
